age,job,marital,education,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,subscribed
52,technician,married,professional.course,no,no,telephone,may,fri,145,1,6,0,failure,1.1,93.994,-36.4,4.859,5191,no
30,technician,divorced,university.degree,no,no,cellular,apr,mon,96,1,6,0,failure,-1.8,93.075,-47.1,1.405,5099.1,no
41,blue-collar,married,basic.9y,no,no,cellular,may,mon,157,5,6,0,failure,-1.8,92.893,-46.2,1.244,5099.1,no
31,technician,married,university.degree,yes,no,cellular,aug,thu,515,1,6,0,failure,1.4,93.444,-36.1,4.964,5228.1,no
26,admin.,married,high.school,yes,no,telephone,apr,mon,216,1,6,0,failure,-1.8,93.075,-47.1,1.466,5099.1,no
30,blue-collar,divorced,basic.9y,no,no,telephone,jun,mon,79,1,6,0,failure,1.4,94.465,-41.8,4.961,5228.1,no
34,technician,married,university.degree,yes,no,cellular,aug,fri,643,1,6,0,failure,1.4,93.444,-36.1,4.963,5228.1,no
31,admin.,married,university.degree,no,no,cellular,nov,wed,596,2,6,0,failure,-0.1,93.2,-42,4.12,5195.8,no
52,services,divorced,high.school,no,no,telephone,may,mon,142,3,6,0,failure,1.1,93.994,-36.4,4.857,5191,no
45,blue-collar,married,basic.9y,yes,no,telephone,jun,mon,214,1,6,0,failure,1.4,94.465,-41.8,4.961,5228.1,no
34,admin.,married,university.degree,no,no,telephone,jul,wed,34,4,6,0,failure,1.4,93.918,-42.7,4.963,5228.1,no
37,admin.,married,university.degree,yes,no,cellular,jul,tue,75,3,6,0,failure,1.4,93.918,-42.7,4.961,5228.1,no
40,services,married,high.school,no,no,telephone,may,tue,70,2,6,0,failure,1.1,93.994,-36.4,4.856,5191,no
52,blue-collar,married,basic.9y,yes,no,telephone,jul,thu,60,1,6,0,failure,1.4,93.918,-42.7,4.962,5228.1,no
32,management,single,high.school,no,no,cellular,jul,fri,128,2,6,0,failure,1.4,93.918,-42.7,4.963,5228.1,no
37,services,married,high.school,yes,no,telephone,may,tue,194,2,6,0,failure,1.1,93.994,-36.4,4.856,5191,no
29,technician,single,university.degree,yes,no,cellular,aug,fri,204,1,6,0,failure,1.4,93.444,-36.1,4.963,5228.1,no
33,blue-collar,single,basic.9y,yes,yes,telephone,may,fri,84,2,6,0,failure,1.1,93.994,-36.4,4.859,5191,no
32,services,married,high.school,yes,no,telephone,jun,wed,833,2,6,0,failure,1.4,94.465,-41.8,4.864,5228.1,no
53,management,married,university.degree,no,no,cellular,jul,mon,123,2,6,0,failure,1.4,93.918,-42.7,4.962,5228.1,no
46,blue-collar,single,basic.4y,no,no,telephone,may,thu,218,2,6,0,failure,1.1,93.994,-36.4,4.86,5191,no
41,admin.,single,high.school,no,no,cellular,apr,fri,68,3,6,0,failure,-1.8,93.075,-47.1,1.405,5099.1,no
61,admin.,married,university.degree,yes,yes,cellular,jul,mon,109,3,6,1,failure,-1.7,94.215,-40.3,0.889,4991.6,no
48,entrepreneur,married,professional.course,no,no,telephone,jun,fri,804,12,6,0,failure,1.4,94.465,-41.8,4.959,5228.1,no
34,admin.,married,basic.4y,yes,no,telephone,may,tue,267,1,6,0,failure,1.1,93.994,-36.4,4.857,5191,no
30,blue-collar,single,basic.9y,yes,yes,cellular,jul,fri,166,1,6,0,failure,1.4,93.918,-42.7,4.963,5228.1,no
29,technician,single,high.school,yes,no,cellular,aug,wed,212,3,6,0,failure,1.4,93.444,-36.1,4.965,5228.1,no
49,services,married,high.school,yes,no,cellular,may,mon,165,1,6,1,failure,-1.8,92.893,-46.2,1.299,5099.1,no
52,blue-collar,single,university.degree,no,no,telephone,may,fri,80,3,6,0,failure,1.1,93.994,-36.4,4.864,5191,no
27,technician,married,basic.9y,yes,yes,cellular,jul,fri,906,2,6,0,failure,1.4,93.918,-42.7,4.963,5228.1,no
30,admin.,single,university.degree,yes,no,cellular,aug,fri,173,3,6,0,failure,1.4,93.444,-36.1,4.964,5228.1,no
48,admin.,divorced,high.school,no,no,telephone,may,tue,233,2,6,0,failure,1.1,93.994,-36.4,4.857,5191,no
37,blue-collar,married,basic.9y,yes,yes,telephone,may,fri,198,1,6,0,failure,1.1,93.994,-36.4,4.855,5191,no
44,admin.,married,basic.4y,yes,no,cellular,aug,tue,222,1,6,0,failure,1.4,93.444,-36.1,4.968,5228.1,no
26,housemaid,married,basic.4y,yes,no,cellular,jul,mon,149,2,6,0,failure,1.4,93.918,-42.7,4.96,5228.1,no
41,blue-collar,married,basic.4y,yes,no,telephone,nov,thu,132,3,6,0,failure,-0.1,93.2,-42,4.076,5195.8,no
47,technician,divorced,high.school,yes,no,cellular,jul,thu,303,3,6,0,failure,1.4,93.918,-42.7,4.962,5228.1,no
58,technician,married,university.degree,no,no,cellular,nov,tue,82,1,6,0,failure,-0.1,93.2,-42,4.153,5195.8,no
30,blue-collar,single,high.school,yes,no,cellular,may,thu,340,1,6,0,failure,-1.8,92.893,-46.2,1.327,5099.1,no
49,blue-collar,married,basic.4y,no,no,telephone,may,tue,431,2,6,0,failure,1.1,93.994,-36.4,4.856,5191,no
33,blue-collar,married,professional.course,yes,no,cellular,jun,wed,240,1,6,0,failure,-2.9,92.963,-40.8,1.26,5076.2,no
44,admin.,divorced,university.degree,yes,yes,telephone,may,tue,273,1,6,0,failure,1.1,93.994,-36.4,4.856,5191,no
29,blue-collar,single,basic.9y,no,no,telephone,jun,mon,411,1,6,0,failure,1.4,94.465,-41.8,4.961,5228.1,no
54,technician,married,basic.4y,no,no,telephone,may,tue,120,2,6,0,failure,1.1,93.994,-36.4,4.857,5191,no
29,entrepreneur,married,basic.6y,yes,yes,telephone,jul,fri,286,3,6,0,failure,1.4,93.918,-42.7,4.959,5228.1,no
54,housemaid,married,professional.course,no,no,telephone,oct,mon,187,2,6,0,failure,-3.4,92.431,-26.9,0.739,5017.5,no
47,housemaid,married,basic.4y,yes,yes,telephone,jul,tue,308,2,6,0,failure,1.4,93.918,-42.7,4.961,5228.1,no
58,blue-collar,married,university.degree,yes,yes,cellular,aug,fri,48,2,6,0,failure,1.4,93.444,-36.1,4.964,5228.1,no
54,retired,divorced,university.degree,yes,no,cellular,may,fri,778,5,6,1,failure,-1.8,92.893,-46.2,1.25,5099.1,no
45,technician,single,university.degree,no,no,cellular,may,fri,272,1,6,1,failure,-1.8,92.893,-46.2,1.313,5099.1,no
34,admin.,single,university.degree,yes,no,cellular,apr,tue,255,7,6,0,failure,-1.8,93.075,-47.1,1.423,5099.1,no
42,technician,single,university.degree,no,no,telephone,may,mon,230,2,6,0,failure,1.1,93.994,-36.4,4.857,5191,no
39,technician,married,high.school,yes,no,cellular,jul,thu,123,3,6,0,failure,1.4,93.918,-42.7,4.968,5228.1,no
69,retired,married,high.school,yes,no,cellular,aug,tue,151,1,6,0,failure,-2.9,92.201,-31.4,0.883,5076.2,no
37,admin.,single,university.degree,no,no,cellular,jul,tue,150,5,6,0,failure,1.4,93.918,-42.7,4.961,5228.1,no
51,blue-collar,married,high.school,yes,no,cellular,nov,mon,69,1,6,0,failure,-0.1,93.2,-42,4.191,5195.8,no
34,technician,married,professional.course,no,no,cellular,aug,mon,174,1,6,0,failure,1.4,93.444,-36.1,4.965,5228.1,no
35,technician,married,professional.course,no,no,cellular,aug,mon,80,1,6,0,failure,1.4,93.444,-36.1,4.963,5228.1,no
50,admin.,divorced,university.degree,no,no,cellular,aug,tue,323,4,6,0,failure,1.4,93.444,-36.1,4.963,5228.1,no
53,services,married,basic.9y,yes,no,cellular,aug,mon,136,2,6,0,failure,1.4,93.444,-36.1,4.97,5228.1,no
47,technician,single,professional.course,no,no,telephone,may,wed,27,1,6,0,failure,1.1,93.994,-36.4,4.858,5191,no
30,blue-collar,single,university.degree,yes,no,cellular,nov,fri,7,5,6,0,failure,-0.1,93.2,-42,4.021,5195.8,no
29,technician,single,university.degree,no,yes,cellular,apr,mon,222,1,6,0,failure,-1.8,93.075,-47.1,1.405,5099.1,no
33,entrepreneur,married,high.school,yes,no,telephone,jun,wed,177,8,6,0,failure,1.4,94.465,-41.8,4.959,5228.1,no
52,technician,divorced,university.degree,yes,yes,cellular,aug,wed,100,4,6,0,failure,1.4,93.444,-36.1,4.967,5228.1,no
50,blue-collar,married,basic.9y,yes,no,telephone,may,thu,135,2,6,0,failure,1.1,93.994,-36.4,4.855,5191,no
35,admin.,single,university.degree,yes,yes,cellular,aug,tue,398,1,6,0,failure,1.4,93.444,-36.1,4.963,5228.1,no
24,services,single,basic.9y,yes,no,cellular,jul,wed,411,1,6,0,failure,1.4,93.918,-42.7,4.963,5228.1,no
38,blue-collar,married,basic.4y,yes,no,cellular,may,thu,130,2,6,0,failure,-1.8,92.893,-46.2,1.266,5099.1,no
29,blue-collar,married,basic.9y,no,no,telephone,may,wed,304,1,6,0,failure,1.1,93.994,-36.4,4.858,5191,no
57,retired,married,high.school,no,no,cellular,aug,fri,92,9,6,0,failure,1.4,93.444,-36.1,4.964,5228.1,no
38,admin.,married,high.school,yes,no,telephone,may,thu,260,5,6,0,failure,1.1,93.994,-36.4,4.855,5191,no
51,technician,married,professional.course,no,yes,cellular,jul,mon,130,1,6,0,failure,1.4,93.918,-42.7,4.96,5228.1,no
37,services,divorced,basic.6y,no,no,telephone,may,tue,175,5,6,1,failure,-1.8,92.893,-46.2,1.291,5099.1,no
25,unemployed,single,high.school,no,no,telephone,jun,fri,287,9,6,0,failure,1.4,94.465,-41.8,4.959,5228.1,no
25,blue-collar,single,basic.4y,yes,no,cellular,may,fri,64,2,6,0,failure,-1.8,92.893,-46.2,1.25,5099.1,no
55,entrepreneur,divorced,university.degree,yes,yes,cellular,nov,thu,68,1,6,0,failure,-0.1,93.2,-42,4.076,5195.8,no
29,blue-collar,single,basic.9y,yes,no,cellular,mar,tue,116,2,6,0,failure,-1.8,92.843,-50,1.556,5099.1,no
44,management,married,university.degree,yes,no,cellular,may,tue,71,1,6,0,failure,-1.8,92.893,-46.2,1.344,5099.1,no
48,services,single,high.school,yes,no,cellular,apr,fri,267,2,6,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
53,entrepreneur,single,basic.9y,no,no,cellular,jul,mon,933,1,6,0,failure,1.4,93.918,-42.7,4.96,5228.1,no
34,technician,married,university.degree,yes,yes,cellular,aug,fri,289,5,6,0,failure,1.4,93.444,-36.1,4.964,5228.1,no
26,student,single,high.school,yes,no,cellular,may,tue,205,1,6,0,failure,-1.8,92.893,-46.2,1.344,5099.1,no
32,admin.,single,university.degree,yes,yes,cellular,aug,fri,709,7,6,0,failure,1.4,93.444,-36.1,4.963,5228.1,no
24,student,single,university.degree,yes,no,cellular,sep,wed,367,1,6,2,failure,-1.1,94.199,-37.5,0.886,4963.6,no
35,admin.,married,high.school,yes,no,telephone,may,fri,259,9,6,0,failure,1.1,93.994,-36.4,4.857,5191,no
43,blue-collar,married,basic.9y,yes,no,telephone,jun,thu,237,1,6,0,failure,1.4,94.465,-41.8,4.958,5228.1,no
48,services,married,high.school,no,no,cellular,aug,thu,163,1,6,0,failure,1.4,93.444,-36.1,4.963,5228.1,no
37,admin.,single,university.degree,yes,yes,cellular,nov,wed,844,2,6,0,failure,-0.1,93.2,-42,4.12,5195.8,no
41,housemaid,single,university.degree,yes,no,telephone,may,mon,9,5,6,0,failure,-1.8,92.893,-46.2,1.299,5099.1,no
37,management,married,university.degree,yes,no,cellular,nov,fri,13,4,6,1,failure,-0.1,93.2,-42,4.021,5195.8,no
44,technician,divorced,professional.course,yes,no,telephone,jun,mon,289,1,6,0,failure,1.4,94.465,-41.8,4.96,5228.1,no
29,technician,married,university.degree,yes,no,cellular,aug,mon,242,1,6,0,failure,1.4,93.444,-36.1,4.965,5228.1,no
32,technician,married,professional.course,no,no,telephone,may,wed,147,1,6,0,failure,1.1,93.994,-36.4,4.858,5191,no
25,self-employed,married,university.degree,yes,no,cellular,jun,fri,57,2,6,1,failure,-2.9,92.963,-40.8,1.268,5076.2,no
50,blue-collar,married,basic.4y,yes,yes,telephone,jun,fri,160,3,6,0,failure,1.4,94.465,-41.8,4.959,5228.1,no
30,student,single,professional.course,no,no,telephone,sep,tue,237,2,6,0,failure,-1.1,94.199,-37.5,0.88,4963.6,no
53,blue-collar,married,basic.4y,no,no,cellular,aug,wed,165,2,6,0,failure,1.4,93.444,-36.1,4.967,5228.1,no
36,technician,married,professional.course,yes,no,cellular,aug,thu,125,1,6,0,failure,1.4,93.444,-36.1,4.964,5228.1,no
64,retired,married,basic.4y,yes,no,telephone,dec,wed,137,8,6,0,failure,-3,92.713,-33,0.715,5023.5,no
31,technician,single,university.degree,yes,no,telephone,may,wed,252,1,6,0,failure,1.1,93.994,-36.4,4.857,5191,no
47,blue-collar,divorced,basic.4y,no,no,telephone,may,fri,223,1,6,0,failure,1.1,93.994,-36.4,4.857,5191,no
35,student,married,basic.9y,no,no,cellular,jul,wed,156,6,6,0,failure,1.4,93.918,-42.7,4.957,5228.1,no
52,admin.,married,high.school,yes,no,telephone,may,wed,99,5,6,0,failure,1.1,93.994,-36.4,4.857,5191,no
46,blue-collar,married,basic.6y,yes,no,cellular,aug,tue,204,2,6,0,failure,1.4,93.444,-36.1,4.963,5228.1,no
35,admin.,married,professional.course,yes,no,cellular,jul,wed,194,1,6,0,failure,1.4,93.918,-42.7,4.963,5228.1,no
29,technician,single,professional.course,yes,no,cellular,nov,thu,239,1,6,0,failure,-0.1,93.2,-42,4.076,5195.8,no
32,admin.,married,high.school,yes,yes,telephone,may,thu,21,3,6,0,failure,1.1,93.994,-36.4,4.855,5191,no
44,blue-collar,married,basic.4y,yes,no,telephone,may,wed,171,2,6,0,failure,1.1,93.994,-36.4,4.856,5191,no
37,admin.,married,high.school,yes,no,telephone,may,mon,124,1,6,0,failure,1.1,93.994,-36.4,4.858,5191,no
50,management,married,university.degree,yes,yes,cellular,nov,thu,339,3,6,0,failure,-0.1,93.2,-42,4.076,5195.8,no
29,technician,single,university.degree,no,yes,cellular,jul,tue,293,1,6,0,failure,1.4,93.918,-42.7,4.962,5228.1,no
33,management,married,university.degree,yes,no,cellular,jul,mon,199,1,6,0,failure,1.4,93.918,-42.7,4.96,5228.1,no
48,admin.,single,university.degree,no,no,cellular,aug,thu,183,4,6,0,failure,1.4,93.444,-36.1,4.962,5228.1,no
36,admin.,married,university.degree,no,no,telephone,may,mon,227,1,6,0,failure,1.1,93.994,-36.4,4.857,5191,no
51,blue-collar,married,basic.4y,yes,yes,telephone,jun,mon,184,1,6,0,failure,1.4,94.465,-41.8,4.865,5228.1,no
35,self-employed,single,university.degree,no,no,cellular,jul,wed,157,1,6,0,failure,1.4,93.918,-42.7,4.962,5228.1,no
58,services,married,basic.4y,no,no,telephone,jun,thu,322,2,6,0,failure,1.4,94.465,-41.8,4.955,5228.1,no
50,admin.,married,high.school,no,no,telephone,nov,tue,46,4,6,0,failure,-0.1,93.2,-42,4.153,5195.8,no
31,blue-collar,married,basic.9y,no,no,telephone,jun,thu,296,1,6,0,failure,1.4,94.465,-41.8,4.961,5228.1,no
30,admin.,married,university.degree,yes,no,cellular,aug,tue,120,3,6,1,failure,-2.9,92.201,-31.4,0.883,5076.2,no
40,management,divorced,university.degree,no,no,cellular,aug,fri,183,1,6,0,failure,-1.7,94.027,-38.3,0.898,4991.6,no
42,admin.,divorced,high.school,yes,yes,telephone,jul,tue,207,3,6,0,failure,1.4,93.918,-42.7,4.961,5228.1,no
35,blue-collar,single,professional.course,yes,no,telephone,may,thu,99,1,6,0,failure,1.1,93.994,-36.4,4.86,5191,no
48,housemaid,married,basic.6y,yes,no,telephone,jun,mon,425,2,6,0,failure,1.4,94.465,-41.8,4.865,5228.1,no
45,blue-collar,married,illiterate,no,no,telephone,may,thu,1196,1,6,0,failure,1.1,93.994,-36.4,4.86,5191,no
24,student,married,university.degree,no,no,cellular,jul,tue,114,1,6,0,failure,1.4,93.918,-42.7,4.961,5228.1,no
51,unemployed,married,high.school,yes,no,telephone,sep,fri,228,1,6,2,failure,-1.1,94.199,-37.5,0.883,4963.6,no
36,management,married,high.school,no,no,cellular,nov,wed,356,2,6,0,failure,-0.1,93.2,-42,4.12,5195.8,no
36,blue-collar,married,basic.6y,no,no,telephone,may,thu,166,1,6,0,failure,1.1,93.994,-36.4,4.855,5191,no
28,admin.,single,university.degree,yes,no,cellular,jul,tue,476,2,6,0,failure,1.4,93.918,-42.7,4.962,5228.1,no
53,self-employed,married,basic.9y,yes,no,cellular,nov,mon,62,1,6,0,failure,-0.1,93.2,-42,4.191,5195.8,no
55,housemaid,married,basic.4y,yes,no,telephone,jul,tue,481,2,6,0,failure,1.4,93.918,-42.7,4.961,5228.1,no
49,blue-collar,married,basic.9y,no,yes,telephone,may,wed,667,3,6,0,failure,1.1,93.994,-36.4,4.857,5191,no
33,admin.,single,university.degree,yes,yes,cellular,nov,tue,86,1,6,0,failure,-0.1,93.2,-42,4.153,5195.8,no
57,blue-collar,married,basic.9y,no,no,cellular,jul,fri,168,1,6,0,failure,1.4,93.918,-42.7,4.957,5228.1,no
33,services,married,basic.9y,no,no,cellular,may,thu,225,3,6,1,failure,-1.8,92.893,-46.2,1.327,5099.1,no
53,management,married,university.degree,no,no,cellular,nov,thu,136,1,6,0,failure,-0.1,93.2,-42,4.076,5195.8,no
56,entrepreneur,married,high.school,yes,no,cellular,aug,wed,131,5,6,1,failure,-2.9,92.201,-31.4,0.884,5076.2,no
44,services,married,high.school,yes,no,telephone,jun,thu,172,3,6,0,failure,1.4,94.465,-41.8,4.866,5228.1,no
58,management,married,university.degree,no,no,cellular,nov,mon,114,1,6,0,failure,-0.1,93.2,-42,4.191,5195.8,no
37,blue-collar,married,basic.9y,yes,yes,cellular,jul,wed,184,3,6,0,failure,1.4,93.918,-42.7,4.963,5228.1,no
35,admin.,married,high.school,no,no,telephone,may,tue,184,1,6,0,failure,1.1,93.994,-36.4,4.856,5191,no
41,admin.,divorced,university.degree,yes,no,telephone,nov,mon,110,2,6,0,failure,-0.1,93.2,-42,4.191,5195.8,no
35,admin.,married,university.degree,yes,no,cellular,aug,fri,419,5,3,2,success,-2.9,92.201,-31.4,0.849,5076.2,no
25,technician,married,university.degree,no,no,cellular,may,tue,158,1,6,0,failure,-1.8,92.893,-46.2,1.291,5099.1,no
26,admin.,married,high.school,no,no,cellular,jul,thu,269,1,6,0,failure,1.4,93.918,-42.7,4.963,5228.1,no
39,admin.,married,university.degree,yes,no,cellular,apr,fri,198,2,6,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
47,management,married,basic.4y,yes,no,cellular,jul,mon,130,3,6,0,failure,1.4,93.918,-42.7,4.962,5228.1,no
32,services,married,high.school,yes,no,telephone,may,thu,177,3,6,0,failure,1.1,93.994,-36.4,4.86,5191,no
41,technician,single,university.degree,yes,yes,cellular,jul,thu,78,1,6,0,failure,1.4,93.918,-42.7,4.962,5228.1,no
29,management,single,university.degree,no,no,cellular,aug,tue,189,1,6,0,failure,1.4,93.444,-36.1,4.963,5228.1,no
34,management,single,university.degree,no,no,telephone,may,tue,290,1,6,0,failure,1.1,93.994,-36.4,4.857,5191,no
42,entrepreneur,married,university.degree,yes,no,telephone,may,mon,293,1,6,0,failure,1.1,93.994,-36.4,4.857,5191,no
52,admin.,married,university.degree,yes,no,cellular,aug,tue,250,1,6,0,failure,1.4,93.444,-36.1,4.966,5228.1,no
42,technician,married,professional.course,yes,no,cellular,aug,thu,108,2,6,0,failure,1.4,93.444,-36.1,4.968,5228.1,no
31,technician,married,high.school,no,no,cellular,jul,mon,75,3,6,0,failure,1.4,93.918,-42.7,4.96,5228.1,no
50,admin.,married,university.degree,yes,no,cellular,aug,thu,794,1,6,0,failure,1.4,93.444,-36.1,4.963,5228.1,no
34,admin.,married,high.school,yes,yes,telephone,may,thu,186,1,6,0,failure,1.1,93.994,-36.4,4.86,5191,no
40,technician,single,university.degree,no,no,telephone,may,thu,430,2,6,1,failure,-1.8,92.893,-46.2,1.327,5099.1,no
36,admin.,married,university.degree,no,yes,cellular,may,mon,305,1,6,0,failure,-1.8,92.893,-46.2,1.264,5099.1,no
36,services,married,high.school,yes,no,cellular,apr,fri,101,1,6,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
36,blue-collar,single,basic.4y,no,yes,cellular,may,thu,178,3,6,0,failure,-1.8,92.893,-46.2,1.327,5099.1,no
58,retired,married,high.school,no,no,cellular,may,tue,127,1,6,1,failure,-1.8,92.893,-46.2,1.344,5099.1,no
54,blue-collar,single,basic.4y,yes,no,telephone,may,fri,824,2,6,0,failure,1.1,93.994,-36.4,4.857,5191,no
52,blue-collar,married,basic.4y,no,no,telephone,may,tue,222,2,6,0,failure,1.1,93.994,-36.4,4.856,5191,no
47,self-employed,married,university.degree,yes,no,cellular,aug,tue,28,13,6,0,failure,1.4,93.444,-36.1,4.965,5228.1,no
33,admin.,married,university.degree,no,no,cellular,jul,wed,50,1,6,0,failure,1.4,93.918,-42.7,4.963,5228.1,no
32,admin.,married,university.degree,yes,no,cellular,nov,thu,155,1,6,0,failure,-0.1,93.2,-42,4.076,5195.8,no
34,technician,single,professional.course,no,yes,cellular,may,mon,217,1,6,1,failure,-1.8,92.893,-46.2,1.264,5099.1,no
51,blue-collar,married,basic.9y,yes,no,telephone,may,wed,90,2,6,0,failure,-1.8,92.893,-46.2,1.334,5099.1,no
53,admin.,married,basic.6y,yes,no,cellular,apr,fri,100,1,6,0,failure,-1.8,93.075,-47.1,1.405,5099.1,no
